city_ascii,lat,lng,country,capital,population
Kowloon,22.3167,114.1833,Hong Kong,,2108419
Cordoba,-31.4167,-64.1833,Argentina,admin,2106734
Zamboanga City,6.9042,122.0761,Philippines,admin,2100000
Rawalpindi,33.6,73.0333,Pakistan,minor,2098231
Havana,23.1367,-82.3589,Cuba,primary,2089532
Chongzuo,22.377,107.365,China,minor,2088692
Portland,45.5371,-122.65,United States,,2084045
Laibin,23.7501,109.2212,China,minor,2074611
San Antonio,29.4632,-98.5238,United States,,2069843
Vadodara,22.3,73.2,India,,2065771
Qingyang,24.7816,118.5517,China,minor,2061600
Rajkot,22.3,70.7833,India,,2043000
Shangzhou,33.8734,109.9186,China,,2041231
Vishakhapatnam,17.7042,83.2978,India,,2035922
Shengli,37.434,118.6746,China,minor,2035338
Sanmenxia,34.7732,111.2004,China,minor,2034872
Warsaw,52.23,21.0111,Poland,primary,2028000
Gujranwala,32.1567,74.19,Pakistan,minor,2027001
Hezhou,24.4042,111.5672,China,minor,2007858
Aleppo,36.2319,37.1681,Syria,admin,2003671
Tijuana,32.525,-117.0333,Mexico,minor,2002000
Puning,23.298,116.166,China,,1998619
Indore,22.7167,75.8472,India,,1994397
Minsk,53.9006,27.5586,Belarus,primary,1992862
Karaj,35.8292,50.9675,Iran,admin,1973470
Kananga,-5.897,22.4488,Congo (Kinshasa),admin,1971704
Huaibei,33.956,116.798,China,,1970265
Peshawar,34.0144,71.5675,Pakistan,admin,1970042
Sacramento,38.5677,-121.4685,United States,admin,1962998
Sapporo,43.0619,141.3544,Japan,admin,1959313
Tilburg,51.5572,5.0911,Netherlands,minor,1944588
Austin,30.3005,-97.7522,United States,admin,1915031
Orlando,28.4773,-81.337,United States,,1913597
Davao,7.07,125.6,Philippines,admin,1910167
Songjiang,31.0058,121.2333,China,minor,1909713
Yinchuan,38.485,106.225,China,admin,1901793
Abhepur,39.41,116.38,India,,1895686
Thane,19.1972,72.9722,India,,1886941
Multan,30.1978,71.4697,Pakistan,minor,1871843
Port Harcourt,4.8242,7.0336,Nigeria,admin,1865000
Fushun,41.881,123.957,China,,1861372
Tainan,22.9833,120.1833,Taiwan,admin,1856642
Pingliang,35.5424,106.6649,China,minor,1848607
Siping,43.1668,124.3506,China,minor,1814733
San Juan,18.3985,-66.061,Puerto Rico,primary,1809800
Pingxiang,27.659,113.887,China,minor,1804805
Bhopal,23.2599,77.4126,India,admin,1798218
Mosul,36.3667,43.1167,Iraq,admin,1792000
Diyarbakir,37.91,40.24,Turkey,admin,1791373
Lubumbashi,-11.6647,27.4794,Congo (Kinshasa),admin,1786397
Benin City,6.3333,5.6222,Nigeria,admin,1780000
Curitiba,-25.4297,-49.2719,Brazil,admin,1773718
San Jose,37.3012,-121.848,United States,,1771563
Shuyangzha,34.1299,118.7734,China,,1770000
Adana,37,35.3213,Turkey,admin,1765981
Quito,-0.22,-78.5125,Ecuador,primary,1763275
Agra,27.18,78.02,India,,1760285
Peyanvilai,8.9,77.9833,India,,1750176
